Lepirudin,Hirudin variant-1 | Lepirudin recombinant|Refludan 50 mg vial
Sodium hydroxide,caustic soda | lye | soda lye | sodio hidroxido | sodium hydrate | white caustic
Trichloroacetate,
Potassium hydroxide,Atzkali | hydroxyde de potassium | Kaliumhydroxid | potash lye | potasio hidroxido | potasse caustique
Zinc citrate,
Triclocarban,"1-(3',4'-dichlorophenyl)-3-(4'-chlorophenyl)urea | 3,4,4'-trichloro carbanilide | 3,4,4'-trichlorocarbanilide | 3,4,4'-trichlorodiphenylurea | N-(4-chlorophenyl)-N'-(3,4-dichlorophenyl)urea | Triclocarban"
Pyrantel,Pirantel | Pyrantel | Pyrantelum
Anthralin,Dithranol | Ditranol
Pectin,
Sodium sulfide,
Phenyltoloxamine,Feniltoloxamina | Phenyltoloxamine | Phenyltoloxaminum
Polyethylene glycol 300,Macrogol 300 | PEG 300 | PEG-6
Bicisate,
Rosin,
Antithrombin Alfa,"Antithrombin (recombinant) | Antithrombin III, recombinant | Antithrombin III,recombinant"
Calcium threonate,"Calcium L-threonate | Threonine, calcium salt"
Ferrous asparto glycinate,
Ferric sulfate,
Sesame oil,
2-(l-menthoxy)ethanol,
Zinc picolinate,
Zeaxanthin,
Polysorbate 20,Polysorbate 20
Exametazime,Exametazima | Exametazime
Tetrofosmin,Tetrofosmin | Tetrofosmina
Homatropine,Homatropina
Rose bengal,
Light green SF yellowish,A F Green No.2 | A.F. Green No. 2 | Acid Brilliant Green SF | Acid green | Acid green 5 | Acid Green A | C.I. Acid Green 5 | Lichtgruen | Light Green G | Light Green SF | Wool Brilliant Green SF
Oftasceine,oftasceina | Oftasceine
Sulisobenzone,2-benzoyl-5-methoxy-1-phenol-4-sulfonic acid | 2-hydroxy-4-methoxybenzophenone-5-sulfonic acid | 3-benzoyl-4-hydroxy-6-methoxybenzenesulfonic acid | 5-benzoyl-4-hydroxy-2-methoxybenzenesulfonic acid | Benzophenone-4 | Sulfisobenzone | Sulisobenzone
Pentoxyverine,Carbetapentane
1-(c14-c18 esteroyl)-2-docosahexanoyl-sn-glycero-3-phosphocholine,
1-(c14-c18 esteroyl)-2-docosahexanoyl-sn-glycero-3-phosphoethanolamine,
Magnesium glycinate,
Pantethine,Bis(pantothenamidoethyl) disulfide | D-Bis(N-pantothenyl-beta-aminoethyl) disulfide | D-pantethine | Pantetina | Pantomin
Cobamamide,"(5,6-Dimethylbenzimidazolyl)cobamide coenzyme | 5'-Deoxy-5'-adenosylcobalamin | Adenosylcob(III)alamin | Adenosylcobalamin | cobamamida | Cobamamide | cobamamidum | Cobanamida | Coenzyme B-12 | Coenzyme B12 | Vitamin B12 coenzyme"
L-threonic acid,"(2R,3S)-2,3,4-trihydroxy-butanoic acid | L-threonate | L-threonic acid | Threonate"
Papain,Papaina
Xylitol,D-Xylitol
Ferrous cysteine glycinate,Ferrous cysteine glycinate chelate (1:2:1)
Peppermint oil,English black mint oil | Mentha crispa oil | Mentha dumetorum oil | Mentha piperita (peppermint) leaf water | Mentha piperita (peppermint) oil | Mentha piperita flowering top oil | Mentha piperita oil | Mentha X piperita oil | Menthae piperitae aetheroleum | Oil of peppermint | Pepermint oil | Peppermint american far west bulked | Peppermint american willamette natural | Peppermint flowering top oil | Peppermint indian rectified | Peppermint oil america | Peppermint oil mongolia | Peppermint oil yakima | Peppermint volatile oil
Sage oil,
Aluminum zirconium octachlorohydrex gly,Aluminium zirconium octachlorohydrex gly | Aluminium zirconium octachlorohydrex glycine complex | Aluminum zirconium octachlorohydrex glycine complex
Menthyl salicylate,"1-Menthyl salicylate | Menthyl salicylate, (+/-)-"
N-alkyl ethylbenzyl dimethyl ammonium (C12-C14),N-alkyl ethylbenzyl dimethyl ammonium (C12-C14) cation
Boron,Bor | Boracium | Bore | Boro
Panthenol,DL-panthenol | DL-Pantothenol | Pantenol | Panthenol | Panthenolum
Alcloxa,Alcloxa | Alcloxum | Aluminium chlorohydroxyallantoinate | Aluminum chlorhydroxy allantoinate | Aluminum chlorohydroxy allantoinate | Chlorhydroxyaluminum allantoinate | Dialuminum tetrahydroxychloro allantoinate
Bemotrizinol,Bemotrizinol | BEMT
Amiloxate,"3-(4-Methoxyphenyl)-2-propenoic acid, 3-methylbutyl ester | Amiloxate | Isoamyl p-methoxycinnamate | Isoamyl-p-methoxycinnamate"
Aluminum chlorohydrex propylene glycol,
Iron protein succinylate,
Ferrous bisglycinate,
Arbutin,4-Hydroxyphenyl-beta-D-glucopyranoside | beta-Arbutin | hydroquinone O-b-D-glucopyranoside | Hydroquinone-O-beta-D-glucopyranoside | p-hydroxyphenyl b-D-glucopyranoside | p-hydroxyphenyl b-D-glucoside
Tea tree oil,melaleuca oil | ti tree oil
Enzacamene,(+/-)-3-(p-methylbenzylidene)camphor | 3-(4-methylbenzylidene)camphor | 3-(p-Methylbenzylidene)-DL-camphor | 4-MBC | 4-methylbenzylidene camphor | enzacamene | Enzacamene | Enzacamene D-L form | enzacameno | enzacamenum | Methyl benzylidene camphor
Octacosanol,1-Octacosanol | cluytyl alcohol | montanyl alcohol | n-octacosanol | Octacosanol | Octacosyl alcohol
Dioxybenzone,"2,2'-Dihydroxy-4-methoxybenzophenone | Dioxybenzone"
Benzoin resin,"Benzoin absolute | Benzoin resin, unspecified | Benzoin tincture, compound | Gum benzoin | Gum benzoin tincture | Gum sumatra"
Tolu balsam,balsamo de Tolu | Balsamum tolutanum | Myroxylon balsamum (balsam tolu) resin | Myroxylon toluiferum resin | Opobalsam resin | Resin tolu
Liquidambar styraciflua resin,American storax | American sweetgum gum | Liquidambar macrophylla resin | Liquidambar styraciflua resin | Redgum gum | Styrax gum (liquidambar styraciflua) | Sweet gum
Peg-100 stearate,
Ethylhexyl methoxycrylene,
Thermus thermophilus lysate,Thermus thermophilus ferment | Thermus thermophilus lysate | Venuceane
Methylcellulose,Cellulose methyl | cellulose methyl ether | Cellulose methylate | Methyl cellulose | methylated cellulose | Methylcellulose | Methylcellulosum | Metilcelulosa
Padimate A,Padimate | Padimate A
Magnesium Aluminum Silicate,Aluminii magnesii silicas | Aluminium magnesium silicate | Aluminium magnesium silicate hydrate | Aluminium magnesium silicate polyhydrate | Aluminum magnesium silicate | Magnesium aluminium silicate | Magnesium aluminium silicate hydrate | Magnesium aluminum silicate hydrate
Lycopene,
Saccharide isomerate,Pentavitin
Silver citrate,"2-hydroxy-1,2,3-propanetricarboxylic acid silver salt | Trisilver citrate"
Poliglusam,Chitosan medium molecular weight (200-800 mpa.s) | Poliglusam
Thonzylamine,neohetramine | Thonzylamine
Polyethylene glycol 3500,Macrogol 3500 | PEG 3500 | PEG-80 | Polyethylene glycol 3500
Trypsin,Tripsina
Borage oil,Borago officinalis
Aluminum sulfate,Aluminium sulfate | Aluminium sulfate anhydrous | Aluminum sulfate anhydrous | Aluminum sulphate anhydrous | Dialuminum sulfate | Dialuminum trisulfate
Gelatin,"Gelatin, unspecified | Gelatina | Gelatine"
Ethyl macadamiate,
Cyclomethicone 5,
Copper gluconate,
Sambucus nigra flowering top,Black elder flowering top | European black elderberry flowering top | European elder flowering top | Sambucus nigra
Zinc gluconate,
Glyceryl monostearate,"Geleol mono and diglycerides | Glycerin monostearate | Glycerol monostearate | Glyceroli monostearas | Glyceryl monooctadecanoate | Glyceryl monopalmitostearate | Glyceryl stearate | Monoglyceryl stearate | Monostearate (glyceride) | Monostearin | Stearic acid, monoester with glycerol | Stearoylglycerol"
Tocopherol,Methyltocols | tocoferol | tocoferoles | tocopherol | Tocopherols
Poloxamer 407,
Xanthan gum,
Hexylresorcinol,"4-hexyl-1,3-benzenediol | 4-hexylresorcinol"
Chromium picolinate,Chromium(III) picolinate
Levomefolic acid,"(6S)-5-methyltetrahydrofolate | (6S)-5-Methyltetrahydrofolic acid | (6S)-5-MTHF | 5-methyl-(6S)-tetrahydrofolic acid | L-5-methyltetrahydrofolate | L-5-MTHF | L-methylfolate | Levomefolate | Levomefolic acid | LMSR | N-[4-[[[(6S)-2-Amino-3,4,5,6,7,8-hexahydro-5-methyl-4-oxo-6-pteridinyl]methyl]amino]benzoyl]-L-glutamic acid"
Fluoride ion,
Diosmetin,"3',5,7-trihydroxy-4'-methoxyflavone | 5,7-Dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-4-benzopyrone | Luteolin 4'-methyl ether | Salinigricoflavonol"
Diacetyl benzoyl lathyrol,
Atractylodes japonica root,Atractylodes lancea root extract
Bisoctrizole,Bisoctrizole | MBBT
Polydatin,"3,4',5-trihydroxystilbene-3-b-d-glucoside | resveratrol-3-O-b-mono-D-glucoside"
Calcium glycerophosphate,"1,2,3-Propanetriol, mono(dihydrogen phosphate) calcium salt | 1,2,3-Propanetriol, mono(dihydrogen phosphate), calcium salt | Calcium beta-glycerophosphate | calcium b-glycerophosphate | b-glycerophosphoric acid calcium salt"
Curcuma xanthorrhiza oil,Curcuma xanthorrhiza root oil | Curcuma xanthorrhiza volatile oil | Curcuma zanthorrhiza oil | Curcuma zanthorrhiza root oil | Temu lawak oil
Sea salt,bay salt
Triethoxycaprylylsilane,Caprylyltriethoxysilane | n-Octyltriethoxysilane | Octyl(triethoxy)silane | Octyltriethoxysilane | Triethoxyoctylsilane
Protocatechualdehyde,"3,4-dihydroxybenzaldehyde | protocatechuic aldehyde | Rancinamycin IV"
Diethylamino hydroxybenzoyl hexyl benzoate,Hexyl 2-(4-(diethylamino)-2-hydroxybenzoyl)benzoate
Atractylodes japonica root oil,
Polysilicone-15,Diethylbenzylidene malonate dimethicone | Diethylmalonylbenzylidene oxypropene dimethicone | Dimethicodiethylbenzalmalonate
Methyl undecenoyl leucinate,
Dihydroergocornine,"9,10-dihydroergocornine | Dihydroergocornine"
Dihydro-alpha-ergocryptine,"9,10-dihydro-a-ergocryptine | alpha-Dihydroergocriptine | dihydro-a-ergocryptine | a-dihydroergocryptine"
Epicriptine,dihydro-beta-ergocryptine | Epicriptina | Epicriptine | Epicriptinum | Epicryptine
Pine needle oil (pinus mugo),
Aluminum zirconium pentachlorohydrex gly,
DL-Methylephedrine,"(+/-)-Methylephedrine | (+/-)-N-methylephedrine | Methylephedrine, (+/-)- | Methylephedrine, DL- | N-methylephedrine DL-form"
Brilliant green cation,"Brilliant green ion | Brilliant green, free form | Brilliant green(1+)"
Bismuth subcarbonate,"2,4-Dioxa-1,5-dibismapentane, 1,3,5-trioxo- | Bismuth carbonate | Bismuth oxycarbonate | Bismuth subcarbonate | Bismuthyl carbonate"
Diethyltoluamide,"3-methyl-N,N-diethylbenzamide | DEET | diethyl toluamide | Diethyltoluamide | diethyltoluamide | diethyltoluamidum | dietiltoluamida | N,N-diethyl-m-toluamide"
DL-dimyristoylphosphatidylcholine,"dimyristoyl phosphatidylcholine | dimyristoyl-phosphatidylcholine | Dimyristoylphosphatidylcholine | Dimyristoylphosphatidylcholine, DL- | DMPC | l-a-dimyristoylphosphatidylcholine"
DL-dimyristoylphosphatidylglycerol,Dimyristoylphosphatidylglycerol | DMPG
Ethyl ferulate,Ethyl 4'-hydroxy-3'-methoxycinnamate
Colloidal oatmeal,"Avena Sativa (oat) kernel flour | Avena Sativa (oat) kernel meal | Avena Sativa (oat) meal extract | Avena Sativa Grain Hulled | Avena Sativa Groats | Oat flour | Oat Grain Hulled | Oat Kernel Flour | Oat Kernel Meal | Oat meal extract | Oatmeal | Oatmeal Powder | Oatmeal, colloidal | Oatmeal,colloidal"
Borneol,"Borneo camphor | Bornyl alcohol | endo-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol | endo-2-bornanol | endo-2-camphanol | endo-2-hydroxycamphane | Sumatra camphor"
Methicone (20 CST),Methicone
Aluminium tristearate,Aluminium stearate | Aluminum stearate | Aluminum(III) stearate
2-ethylhexyl benzoate,2-Ethyl-1-hexanol benzoate | Ethylhexyl benzoate
Rice bran oil,
Coccidioides immitis spherule,
Trichophyton verrucosum,
Prezatide,GHK | Gly-His-Lys | Glycyl-L-histidyl-L-lysine | Glycylhistidyllysine | Growth-modulating peptide (human) | Liver cell growth factor | Tripeptide-1
Palmitoyl oligopeptide,Palmitoyl oligopeptide | Palmitoyl tripeptide-1
Thioredoxin,
Vanillyl butyl ether,4-(Butoxymethyl)-2-methoxyphenol | Butyl vanillyl ether
Thrombin,"coagulation factor II | Thrombin bovine | Thrombin, Topical (Bovine)"
Curcuma aromatica root oil,
Hydrogenated soybean oil,
Phenoxyethanol,1-Hydroxy-2-phenoxyethane | 2-Hydroxyethyl phenyl ether | 2-phenoxyethanol | 2-Phenoxyethyl alcohol | beta-Hydroxyethyl phenyl ether | Ethylene glycol monophenyl ether | Phenoxytol | Phenyl cellosolve | Phenylmonoglycol ether
Quaternium-18,Quaternium-18
Bentonite,
Sulfuric acid,Acide sulfurique | Acido sulfurico | Acidum sulfuricum | Brimstone acid | Dihydrogen sulfate | Dihydrogen sulphate | Schwefelsaeureloesungen | Sulphuric acid | Tetraoxosulfuric acid
Prothrombin,Coagulation factor II (human) | Coagulation factor II human | Factor II | Factor II (prothrombin) | Human coagulation factor II
Protein C,autoprothrombin IIA | blood coagulation factor XIV | Human protein C | Protein C (coagulation inhibitor) | Protein C concentrate | Protein C concentrate (human) | Protein C concentrate human | Protein C human
Phenyl trimethicone,Methyl phenyl polysiloxane | Polyphenylmethyl siloxane
Methscopolamine,Methylscopolamine
"1,2-Docosahexanoyl-sn-glycero-3-phosphoserine",
Cod liver oil,"Cod-liver oil | Gadus morhua liver oil | Oils, cod liver | Oleum morrhuae"
Glycol salicylate,2-hydroxybenzoic acid 2-hydroxyethyl ester | 2-hydroxyethyl 2-oxidanylbenzoate | 2-hydroxyethyl salicylate | Ethylene glycol monosalicylate | Ethylene glycol salicylate | Glycol salicylate
Nonivamide,Hydroxymethoxybenzyl pelargonamide | N-Nonanoyl vanillylamide | N-Vanillylnonamide | N-Vanillylpelargonamide | Nonivamide | Pelargonyl vanillylamide | Pseudocapsaicin | Vanillyl-N-nonylamide
Soy sterol,"Glycine max seed sterol | Glycine soja (soybean) sterols | Refined soy sterol | Soya sterol | Soybean sterol | Soysterol | Steroids, soya hydroxy | Sterol"
Boric acid,acido borico | boracic acid | hydrogen borate | orthoboric acid
Dipyrithione,Bispyrithione | Dipiritiona | Dipyrithione | Dipyrithionum | Omadine disulfide | OMDS | Pyrithione disulfide | Pyrithione disulphide
Tetradecyl hydrogen sulfate (ester),7-Ethyl-2-methyl-4-undecanol sulfate | Tetradecyl hydrogen sulfate
C11-12 isoparaffin,
Factor IX Complex (Human),"4F-PCC | APCC | Coagulation factor IX complex human | Coagulation factor IX, II, VII and X in combination | Factor IX Complex | Factor IX Complex (Human) | Factor IX complex human | Factor IX complex,human | Factor IX Fraction | PCC | Plasma Concentrate Factor IX | Prothrombin complex concentrate | Prothrombin complex concentrate (human)"
1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)) | 1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphatidylglycerol | 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphoglycerol | l-Alpha-1-palmitoyl-2-oleoylglycerophosphoglycerol | Palmitoyloleoyl-phosphatidylglycerol | PG(16:0/18:1(9Z)) | PG(16:0/18:1) | POPG
Sinapultide,Sinapultide
Poloxamer 188,Pluronic F68 | Poloxamer-188 | Vepoloxamer
Ascorbyl glucoside,AA-2G | AA2G | Ascorbic acid 2-O-glucoside
Kinetin,
Zeatin,(E)-2-methyl-4-(1H-purin-6-ylamino)-2-buten-1-ol | (E)-2-methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol | (E)-2-methyl-4-(purin-6-ylamino)-2-buten-1-ol | (E)-zeatin | N6-(4-Hydroxyisopentenyl)adenine | trans-Zeatin
Clove oil,Caryophylii floris aetheroleum | Caryophyllus aromaticus bud oil | Clove bud oil | Clove volatile oil | Ding xiang bud oil | Eugenia aromatica bud oil | Eugenia caryophyllata bud oil | Eugenia caryophyllus (clove) bud oil | Eugenia caryophyllus (clove) flower oil | Nelken oel | Syzygium aromaticum bud oil | Syzygium aromaticum oil
Ubiquinol,
Ichthammol,ammonium bituminosulfonate | ammonium bituminosulphonate
Aluminum oxide,Aluminium oxide
Silanol,
(+)-menthol,"(+)-(1S,2R,5S)-menthol | (+)-(1S,3S,4R)-menthol | (1S,2R,5S)-(+)-menthol | (1S,2R,5S)-menthol | D-menthol"
(S)-camphor,"(-)-bornan-2-one | (-)-camphor | (1S,4S)-camphor | (1S)-(-)-camphor | l-camphor"
Rubidium,rubidio
Bacillus subtilis,Bacillus subtilis whole | Vibrio subtilis whole
Calcium Phosphate,"calcio fosfato | Calcium phosphates | Phosphoric acid, calcium salt"
Cetyl ethylhexanoate,
Cocamidopropyl betaine,
Ascorbyl phosphate,
Propolis wax,
Polyquaternium-10 (400 cps at 2%),
Linseed oil,flax oil | flaxseed oil
Evening primrose oil,"Oenothera biennis (evening primrose) oil | Oenothera biennis (evening primrose) seed extract | Oenothera biennis l. oil | Oenothera biennis seed extract | Oenothera biennis seed oil | Oenothera lamarckiana l. oil | Oenothera muricata seed oil | Oenothera oil | Oenothera pycnocarpa seed oil | Oenotherae biennis oleum | Oils, glyceridic, evening primrose | Oleum oenotherae erythrospinae | Primrose oil"
Guaiacol,1-hydroxy-2-methoxybenzene | 2-methoxyl-4-vinylphenol | 2-methoxyphenol | o-guaiacol | o-hydroxyanisole | o-Methoxyphenol | Pyrocatechol monomethyl ether | Pyroguaiac acid
Lactobacillus plantarum,
Betula pendula tar oil,"Betula alba oil | Betula alba var. pendula tar oil | Betula pendula resin oil | Betula pendula tar volatile oil | Betula verrucosa tar oil | Birch tar oil | Birch tar oil, rectified | European white birch tar oil | Rectified birch tar oil | White birch oil"
Selexipag,Selexipag
Alectinib,"9-ethyl-6,6-dimethyl-8-[4-(morpholin-4-yl)piperidin-1-yl]-11-oxo-6,11-dihydro-5H-benzo[b]carbazole-3-carbonitrile | Alectinib"
Pidotimod,
Sennosides,Senna | Senna glycosides | Sennoside | Sennosides
Roquinimex,Linomide
Cefroxadine,Cefroxadine | cefroxadino
Chlorophetanol,2-(4-Chlorophenoxy)ethanol | 2-(4-chlorphenoxy)-ethanol | 2-(p-Chlorophenoxy)ethanol | p-Chlorophenyl glycol ether | p-Chlorophenyl monoglycol ether
